"Product Name","Category Name","Supplier Name"
"Chais","Beverages","Exotic Liquid"
"Chang","Beverages","Exotic Liquid"
"Guaraná Fantástica","Beverages","Refrescos Americanas LTDA"
"Sasquatch Ale","Beverages","Bigfoot Breweries"
"Steeleye Stout","Beverages","Bigfoot Breweries"
"Côte de Blaye","Beverages","Aux joyeux ecclésiastiques"
"Chartreuse verte","Beverages","Aux joyeux ecclésiastiques"
"Ipoh Coffee","Beverages","Leka Trading"
"Laughing Lumberjack Lager","Beverages","Bigfoot Breweries"
"Outback Lager","Beverages","Pavlova, Ltd."
"Rhönbräu Klosterbier","Beverages","Plutzer Lebensmittelgroßmärkte AG"
"Lakkalikööri","Beverages","Karkki Oy"
"Aniseed Syrup","Condiments","Exotic Liquid"
"Chef Anton's Cajun Seasoning","Condiments","New Orleans Cajun Delights"
"Chef Anton's Gumbo Mix","Condiments","New Orleans Cajun Delights"
"Grandma's Boysenberry Spread","Condiments","Grandma Kelly's Homestead"
"Northwoods Cranberry Sauce","Condiments","Grandma Kelly's Homestead"
"Genen Shouyu","Condiments","Mayumi's"
"Gula Malacca","Condiments","Leka Trading"
"Sirop d'érable","Condiments","Forêts d'érables"
"Vegie-spread","Condiments","Pavlova, Ltd."
"Louisiana Fiery Hot Pepper Sauce","Condiments","New Orleans Cajun Delights"
"Louisiana Hot Spiced Okra","Condiments","New Orleans Cajun Delights"
"Original Frankfurter grüne Soße","Condiments","Plutzer Lebensmittelgroßmärkte AG"
"Pavlova","Confections","Pavlova, Ltd."
"Teatime Chocolate Biscuits","Confections","Specialty Biscuits, Ltd."
"Sir Rodney's Marmalade","Confections","Specialty Biscuits, Ltd."
"Sir Rodney's Scones","Confections","Specialty Biscuits, Ltd."
"NuNuCa Nuß-Nougat-Creme","Confections","Heli Süßwaren GmbH & Co. KG"
"Gumbär Gummibärchen","Confections","Heli Süßwaren GmbH & Co. KG"
"Schoggi Schokolade","Confections","Heli Süßwaren GmbH & Co. KG"
"Zaanse koeken","Confections","Zaanse Snoepfabriek"
"Chocolade","Confections","Zaanse Snoepfabriek"
"Maxilaku","Confections","Karkki Oy"
"Valkoinen suklaa","Confections","Karkki Oy"
"Tarte au sucre","Confections","Forêts d'érables"
"Scottish Longbreads","Confections","Specialty Biscuits, Ltd."
"Queso Cabrales","Dairy Products","Cooperativa de Quesos 'Las Cabras'"
"Queso Manchego La Pastora","Dairy Products","Cooperativa de Quesos 'Las Cabras'"
"Gorgonzola Telino","Dairy Products","Formaggi Fortini s.r.l."
"Mascarpone Fabioli","Dairy Products","Formaggi Fortini s.r.l."
"Geitost","Dairy Products","Norske Meierier"
"Raclette Courdavault","Dairy Products","Gai pâturage"
"Camembert Pierrot","Dairy Products","Gai pâturage"
"Gudbrandsdalsost","Dairy Products","Norske Meierier"
"Fløtemysost","Dairy Products","Norske Meierier"
"Mozzarella di Giovanni","Dairy Products","Formaggi Fortini s.r.l."
"Gustaf's Knäckebröd","Grains/Cereals","PB Knäckebröd AB"
"Tunnbröd","Grains/Cereals","PB Knäckebröd AB"
"Singaporean Hokkien Fried Mee","Grains/Cereals","Leka Trading"
"Filo Mix","Grains/Cereals","G'day, Mate"
"Gnocchi di nonna Alice","Grains/Cereals","Pasta Buttini s.r.l."
"Ravioli Angelo","Grains/Cereals","Pasta Buttini s.r.l."
"Wimmers gute Semmelknödel","Grains/Cereals","Plutzer Lebensmittelgroßmärkte AG"
"Mishi Kobe Niku","Meat/Poultry","Tokyo Traders"
"Alice Mutton","Meat/Poultry","Pavlova, Ltd."
"Thüringer Rostbratwurst","Meat/Poultry","Plutzer Lebensmittelgroßmärkte AG"
"Perth Pasties","Meat/Poultry","G'day, Mate"
"Tourtière","Meat/Poultry","Ma Maison"
"Pâté chinois","Meat/Poultry","Ma Maison"
"Uncle Bob's Organic Dried Pears","Produce","Grandma Kelly's Homestead"
"Tofu","Produce","Mayumi's"
"Rössle Sauerkraut","Produce","Plutzer Lebensmittelgroßmärkte AG"
"Manjimup Dried Apples","Produce","G'day, Mate"
"Longlife Tofu","Produce","Tokyo Traders"
"Ikura","Seafood","Tokyo Traders"
"Konbu","Seafood","Mayumi's"
"Carnarvon Tigers","Seafood","Pavlova, Ltd."
"Nord-Ost Matjeshering","Seafood","Nord-Ost-Fisch Handelsgesellschaft mbH"
"Inlagd Sill","Seafood","Svensk Sjöföda AB"
"Gravad lax","Seafood","Svensk Sjöföda AB"
"Boston Crab Meat","Seafood","New England Seafood Cannery"
"Jack's New England Clam Chowder","Seafood","New England Seafood Cannery"
"Røgede sild","Seafood","Lyngbysild"
"Spegesild","Seafood","Lyngbysild"
"Escargots de Bourgogne","Seafood","Escargots Nouveaux"
"Röd Kaviar","Seafood","Svensk Sjöföda AB"
