"Customer Name","Order Date","Items Count"
"Ana Trujillo Emparedados y helados","1996-09-18","2"
"Antonio Moreno Taquería","1996-11-27","1"
"Around the Horn","1996-11-15","2"
"Around the Horn","1996-12-16","3"
"Berglunds snabbköp","1996-08-12","4"
"Berglunds snabbköp","1996-08-14","3"
"Berglunds snabbköp","1996-12-16","2"
"Blondel père et fils","1996-07-25","2"
"Blondel père et fils","1996-09-04","2"
"Blondel père et fils","1996-11-22","5"
"Blondel père et fils","1997-02-05","4"
"Bólido Comidas preparadas","1996-10-10","3"
"Bon app'","1996-10-16","1"
"Bon app'","1996-10-29","3"
"Bon app'","1996-11-25","3"
"Bottom-Dollar Marketse","1996-12-20","4"
"Bottom-Dollar Marketse","1997-01-10","2"
"Bottom-Dollar Marketse","1997-01-10","3"
"Bottom-Dollar Marketse","1997-01-30","3"
"B's Beverages","1996-08-26","2"
"Centro comercial Moctezuma","1996-07-18","2"
"Chop-suey Chinese","1996-07-11","3"
"Chop-suey Chinese","1996-12-03","3"
"Comércio Mineiro","1996-08-27","4"
"Consolidated Holdings","1997-02-04","3"
"Drachenblut Delikatessend","1996-11-26","3"
"Drachenblut Delikatessend","1996-12-23","1"
"Du monde entier","1996-09-20","2"
"Eastern Connection","1996-11-26","2"
"Eastern Connection","1997-01-01","3"
"Ernst Handel","1996-07-17","3"
"Ernst Handel","1996-07-23","4"
"Ernst Handel","1996-11-11","4"
"Ernst Handel","1996-11-29","4"
"Ernst Handel","1996-12-13","5"
"Ernst Handel","1996-12-23","4"
"Ernst Handel","1997-01-02","2"
"Ernst Handel","1997-01-03","2"
"Ernst Handel","1997-01-30","4"
"Ernst Handel","1997-02-11","3"
"Familia Arquibaldo","1996-11-06","4"
"Familia Arquibaldo","1996-12-18","2"
"Familia Arquibaldo","1997-01-14","2"
"Folies gourmandes","1997-01-08","3"
"Folk och fä HB","1996-07-24","2"
"Folk och fä HB","1996-10-11","4"
"Folk och fä HB","1996-12-10","1"
"Folk och fä HB","1997-02-03","2"
"Frankenversand","1996-07-29","3"
"Frankenversand","1996-10-24","5"
"Frankenversand","1996-10-30","4"
"Frankenversand","1996-12-27","3"
"Franchi S.p.A.","1997-01-22","1"
"Furia Bacalhau e Frutos do Mar","1996-10-14","3"
"Furia Bacalhau e Frutos do Mar","1996-11-12","2"
"Galería del gastrónomo","1996-11-28","2"
"Galería del gastrónomo","1997-01-27","2"
"Godos Cocina Típica","1996-09-11","3"
"Gourmet Lanchonetes","1997-01-23","2"
"GROSELLA-Restaurante","1996-07-30","2"
"Hanari Carnes","1996-07-08","3"
"Hanari Carnes","1996-07-10","3"
"HILARIÓN-Abastos","1996-07-16","3"
"HILARIÓN-Abastos","1996-12-26","3"
"Hungry Coyote Import Store","1996-12-06","2"
"Hungry Coyote Import Store","1996-12-25","2"
"Hungry Coyote Import Store","1997-01-15","2"
"Hungry Owl All-Night Grocers","1996-09-05","4"
"Hungry Owl All-Night Grocers","1996-09-19","5"
"Hungry Owl All-Night Grocers","1996-10-22","4"
"Hungry Owl All-Night Grocers","1996-12-05","2"
"Hungry Owl All-Night Grocers","1996-12-12","4"
"Hungry Owl All-Night Grocers","1997-01-29","2"
"Island Trading","1996-09-26","2"
"Island Trading","1996-10-01","2"
"Island Trading","1996-10-03","1"
"Königlich Essen","1996-10-07","3"
"Königlich Essen","1996-10-09","5"
"La maison d'Asie","1996-11-11","2"
"La maison d'Asie","1996-11-20","3"
"La maison d'Asie","1996-12-03","1"
"La maison d'Asie","1997-01-14","3"
"La maison d'Asie","1997-01-24","2"
"Lehmanns Marktstand","1996-08-13","1"
"Lehmanns Marktstand","1996-08-19","4"
"Lehmanns Marktstand","1996-10-31","3"
"LILA-Supermercado","1996-08-16","4"
"LILA-Supermercado","1996-09-03","3"
"LILA-Supermercado","1996-10-16","2"
"LILA-Supermercado","1996-11-19","3"
"LILA-Supermercado","1996-12-12","1"
"LINO-Delicateses","1997-01-06","1"
"Lonesome Pine Restaurant","1996-09-17","2"
"Lonesome Pine Restaurant","1996-09-30","1"
"Magazzini Alimentari Riuniti","1996-08-07","2"
"Magazzini Alimentari Riuniti","1996-09-09","2"
"Magazzini Alimentari Riuniti","1997-01-03","3"
"Mère Paillarde","1996-10-17","3"
"Mère Paillarde","1996-10-28","3"
"Mère Paillarde","1996-12-09","1"
"Mère Paillarde","1997-01-23","3"
"Mère Paillarde","1997-02-07","4"
"Morgenstern Gesundkost","1996-08-09","2"
"Océano Atlántico Ltda.","1997-01-09","2"
"Old World Delicatessen","1996-07-19","4"
"Old World Delicatessen","1996-09-13","3"
"Old World Delicatessen","1996-10-25","2"
"Old World Delicatessen","1997-02-10","1"
"Ottilies Käseladen","1997-01-07","3"
"Pericles Comidas clásicas","1996-10-04","1"
"Pericles Comidas clásicas","1996-11-14","2"
"Piccolo und mehr","1996-11-13","2"
"Piccolo und mehr","1996-12-24","1"
"Piccolo und mehr","1997-01-27","1"
"Princesa Isabel Vinhoss","1996-10-23","1"
"Princesa Isabel Vinhoss","1996-12-27","2"
"Princesa Isabel Vinhoss","1997-02-03","1"
"Que Delícia","1996-07-19","2"
"Que Delícia","1996-08-27","3"
"Que Delícia","1996-12-11","3"
"Que Delícia","1997-01-21","4"
"Queen Cozinha","1996-12-04","4"
"Queen Cozinha","1997-01-07","5"
"QUICK-Stop","1996-08-05","5"
"QUICK-Stop","1996-08-20","3"
"QUICK-Stop","1996-08-21","2"
"QUICK-Stop","1996-09-24","1"
"QUICK-Stop","1996-11-04","3"
"QUICK-Stop","1996-11-22","2"
"QUICK-Stop","1997-01-17","4"
"Rattlesnake Canyon Grocery","1996-07-22","3"
"Rattlesnake Canyon Grocery","1996-08-02","3"
"Rattlesnake Canyon Grocery","1996-08-30","5"
"Rattlesnake Canyon Grocery","1996-09-25","3"
"Rattlesnake Canyon Grocery","1996-09-27","2"
"Rattlesnake Canyon Grocery","1996-11-05","2"
"Rattlesnake Canyon Grocery","1997-01-01","4"
"Reggiani Caseifici","1996-08-23","2"
"Reggiani Caseifici","1997-01-28","1"
"Reggiani Caseifici","1997-02-12","2"
"Ricardo Adocicados","1996-08-22","3"
"Ricardo Adocicados","1996-09-06","2"
"Richter Supermarkt","1996-07-12","4"
"Richter Supermarkt","1997-01-20","2"
"Romero y tomillo","1996-08-14","3"
"Romero y tomillo","1996-08-15","2"
"Romero y tomillo","1996-09-16","3"
"Santé Gourmet","1996-12-18","4"
"Save-a-lot Markets","1996-10-08","5"
"Save-a-lot Markets","1996-12-25","5"
"Save-a-lot Markets","1996-12-30","2"
"Save-a-lot Markets","1997-02-10","4"
"Seven Seas Imports","1996-11-21","3"
"Seven Seas Imports","1996-12-09","2"
"Seven Seas Imports","1996-12-19","3"
"Simons bistro","1996-10-29","2"
"Simons bistro","1997-01-16","4"
"Split Rail Beer & Ale","1996-08-01","1"
"Split Rail Beer & Ale","1996-10-15","4"
"Split Rail Beer & Ale","1996-11-08","1"
"Split Rail Beer & Ale","1996-12-02","2"
"Split Rail Beer & Ale","1996-12-17","3"
"Split Rail Beer & Ale","1997-01-31","2"
"Suprêmes délices","1996-07-09","3"
"Suprêmes délices","1996-09-10","3"
"The Big Cheese","1996-09-20","2"
"Toms Spezialitäten","1997-02-06","3"
"Tortuga Restaurante","1996-08-08","2"
"Tortuga Restaurante","1996-08-29","4"
"Tortuga Restaurante","1996-09-12","3"
"Tortuga Restaurante","1996-10-02","3"
"Tradição Hipermercados","1996-07-05","2"
"Tradição Hipermercados","1996-08-28","1"
"Vaffeljernet","1996-11-28","4"
"Vaffeljernet","1996-12-31","4"
"Victuailles en stock","1996-07-08","3"
"Victuailles en stock","1996-10-21","2"
"Vins et alcools Chevalier","1996-08-06","2"
"Vins et alcools Chevalier","1996-09-02","1"
"Die Wandernde Kuh","1996-09-09","2"
"Die Wandernde Kuh","1996-09-23","4"
"Die Wandernde Kuh","1996-11-07","2"
"Die Wandernde Kuh","1996-11-18","3"
"Wartian Herkku","1996-07-26","1"
"Wartian Herkku","1996-08-01","2"
